"DOI","Title","Abstract","Journal","Authors","Keywords","Institute of Origin","Funding","Enrichment Status"
"10.1039/D2SC03780G","Interfacial electric fields catalyze Ullmann coupling reactions on gold surfaces","N/A","N/A","Ilana B. Stone, Rachel L. Starr, Norah M. Hoffmann, Xiao Wang, Austin M. Evans, Colin Nuckolls, Tristan H. Lambert, Michael L. Steigerwald, Timothy C. Berkelbach, Xavier Roy, Latha Venkataraman","","","N/A","Success"
"10.1039/D1SC02965G","Chromophore-radical excited state antiferromagnetic exchange controls the sign of photoinduced ground state spin polarization","N/A","N/A","Martin L. Kirk, David A. Shultz, Patrick Hewitt, Daniel E. Stasiw, Ju Chen, Art van der Est","","","N/A","Success"
"10.1039/D1SC02663A","Indirect reduction of CO2and recycling of polymers by manganese-catalyzed transfer hydrogenation of amides, carbamates, urea derivatives, and polyurethanes","N/A","N/A","Xin Liu, Thomas Werner","","","N/A","Success"
"10.1039/D4SC04211E","Retro-Cope elimination of cyclic alkynes: reactivity trends and rational design of next-generation bioorthogonal reagents","Diversify your bonds! The reactivity of preactivated cycloalkynes in the retro-Cope elimination reaction was quantum chemically investigated. Based on our finding, we rationally designed a suite of next-generation reagents.","Chemical Science","Steven E. Beutick, Song Yu, Laura Orian, F. Matthias Bickelhaupt, Trevor A. Hamlin","","N/A","N/A","Already Complete"
"10.1039/D0SC07052A","Chiral Lewis acid-bonded picolinaldehyde enables enantiodivergent carbonyl catalysis in the Mannich/condensation reaction of glycine ester","N/A","N/A","Xia Zhong, Ziwei Zhong, Zhikun Wu, Zhen Ye, Yuxiang Feng, Shunxi Dong, Xiaohua Liu, Qian Peng, Xiaoming Feng","","","N/A","Success"
"10.1039/D3SC04388F","Accessing metal-specific orbital interactions in C–H activation with resonant inelastic X-ray scattering","N/A","N/A","Ambar Banerjee, Raphael M. Jay, Torsten Leitner, Ru‐Pan Wang, Jessica Harich, Robert Stefanuik, Michael R. Coates, Emma V. Beale, Victoria Kabanova, Abdullah Kahraman, Anna Wach, D. Ozerov, Christopher Arrell, Christopher J. Milne, Philip J. M. Johnson, Claudio Cirelli, Camila Bacellar, Nils Huse, Michael Odelius, Philippe Wernet","","","N/A","Success"
"10.1039/D1SC02197D","An amplification-free ultra-sensitive electrochemical CRISPR/Cas biosensor for drug-resistant bacteria detection","N/A","N/A","Akkapol Suea‐Ngam, Philip D. Howes, Andrew J. deMello","","","N/A","Success"
"10.1039/D2SC03909E","Selection of diverse polymorphic structures from a small dynamic molecular network controlled by the environment","N/A","N/A","B. Bartolec, Armin Kiani, Meagan A. Beatty, Meniz Altay, Guillermo Monreal Santiago, Jan B. F. N. Engberts","","","N/A","Success"
"10.1039/D4SC02432J","A general graph neural network based implicit solvation model for organic molecules in water","N/A","N/A","Paul Katzberger, Sereina Riniker","","","N/A","Success"
"10.1039/D1SC04846E","When SF5 outplays CF3: effects of pentafluorosulfanyl decorated scorpionates on copper","N/A","N/A","Anurag Noonikara‐Poyil, Álvaro Muñoz-Castro, Andrii Boretskyi, Pavel K. Mykhailiuk, H. V. Rasika Dias","","","N/A","Success"
"10.1039/D4SC03242J","Unleashing the potential of Li–O2 batteries with electronic modulation and lattice strain in pre-lithiated electrocatalysts","Electronic modulation and lattice strain in pre-lithiated electrocatalysts, lead to optimized Li–O intermediate adsorption and enhanced electron transfer for improved Li–O2 battery performance with high efficiency, longevity, and large capacity.","Chemical Science","Zhengcai Zhang, Dulin Huang, Shuochao Xing, Minghui Li, Jing Wu, Zhang Zhang, Yaying Dou, Zhen Zhou","","N/A","N/A","Already Complete"
"10.1039/D3SC01295F","From closed-shell edge-extended kekulenes to open-shell carbonylated cycloarene diradicaloid","N/A","N/A","Dongdong Chang, Jiangyu Zhu, Yutao Sun, Kai Chi, Yanjun Qiao, Teng Wang, Yan Zhao, Yunqi Liu, Xuefeng Lu","","","N/A","Success"
"10.1039/D1SC01050F","Attention-based generative models for de novo molecular design","N/A","N/A","Orion Dollar, Nisarg Joshi, David A. C. Beck, Jim Pfaendtner","","","N/A","Success"
"10.1039/D3SC04004F","Resolving a guanine-quadruplex structure in the SARS-CoV-2 genome through circular dichroism and multiscale molecular modeling","N/A","N/A","Luisa D’Anna, Tom Miclot, Emmanuelle Bignon, Ugo Perricone, Giampaolo Barone, Antonio Monari, Alessio Terenzi","","","N/A","Success"
"10.1039/D3SC01876H","A conductive catecholate-based framework coordinated with unsaturated bismuth boosts CO2 electroreduction to formate","N/A","N/A","Zengqiang Gao, Man Hou, Yongxia Shi, Li Li, Qisheng Sun, Shuyuan Yang, Zhiqiang Jiang, Wenjuan Yang, Zhicheng Zhang, Wenping Hu","","","N/A","Success"
"10.1039/D2SC00437B","Highly selective synthesis and near-infrared photothermal conversion of metalla-Borromean ring and [2]catenane assemblies","N/A","N/A","Li‐Long Dang, Tingting Li, Tingting Zhang, Ying Zhao, Tian Chen, Xiang Gao, Lu‐Fang Ma, Guo‐Xin Jin","","","N/A","Success"
"10.1039/D4SC03384A","Gradual evolution of a homo-l-peptide world on homo-d-configured RNA and DNA","Nucleic acids with hypermodified nucleosides perform stereoselective RNA/DNA-mediated peptide coupling, followed by thermal release of the peptide, leading to temperature-driven one-pot cycles with gradual homochiral l-peptide enrichment.","Chemical Science","Ewa Węgrzyn, Ivana Mejdrová, Thomas Carell","","N/A","N/A","Already Complete"
"10.1039/D2SC05918E","Practical, scalable, and transition metal-free visible light-induced heteroarylation route to substituted oxindoles","N/A","N/A","Jadab Majhi, Albert Granados, Bianca T. Matsuo, Vittorio Ciccone, Roshan K. Dhungana, Mohammed Sharique, Gary A. Molander","","","N/A","Success"
"10.1039/D3SC00752A","Designing multi-target-directed flavonoids: a strategic approach to Alzheimer's disease","N/A","N/A","Seongmin Park, Mingeun Kim, Yuxi Lin, Mannkyu Hong, Geewoo Nam, Adam Mieczkowski, József Kardos, Young‐Ho Lee, Mi Hee Lim","","","N/A","Success"
"10.1039/D4SC04526B","Surefire generation of stannylpotassium: highly reactive stannyl anions and applications","N/A","N/A","Yuta Hiraoka, Taiki Imagawa, Kazuki Nakanishi, H. KAWABE, Masaaki Nakamoto, Takumi Tsushima, Hiroto Yoshida","","","N/A","Success"
"10.1039/D1SC04666G","Synthesis and electronic structure analysis of the actinide allenylidenes, [{(NR2)3}An(CCCPh2)]− (An = U, Th; R = SiMe3)","N/A","N/A","Greggory T. Kent, Xiaojuan Yu, Guang Wu, Jochen Autschbach, Trevor W. Hayton","","","N/A","Success"
"10.1039/D2SC03460C","Ultrasensitive chemiluminescent neuraminidase probe for rapid screening and identification of small-molecules with antiviral activity against influenza A virus in mammalian cells","N/A","N/A","Omri Shelef, Sara Gutkin, Daniel Feder, Ariel Ben-Bassat, Michal Mandelboim, Yoni Haitin, Nir Ben‐Tal, Eran Bacharach, Doron Shabat","","","N/A","Success"
"10.1039/D4SC02084G","Halo-perfluoroalkoxylation of gem-difluoroalkenes with short-lived alkali metal perfluoroalkoxides in triglyme","N/A","N/A","Koki Kawai, Yoshimitsu Kato, Taichi Araki, Shun-ichi Ikawa, Mai Usui, Naoyuki Hoshiya, Yosuke Kishikawa, Jorge Escorihuela, Norio Shibata","","","N/A","Success"
"10.1039/D4SC03667K","Unraveling Non-Radiative Decay Channels of Exciplexes to Construct Efficient Red Emitters for Organic Light-Emitting Diodes","N/A","N/A","Silu Tao, Qian Zhang, Zhuo Hao, Haoyu Yang, Bo Han, Yonghao Zheng, Hui Huang, Hui Lin, Silu Tao, Caijun Zheng, Xiaohong Zhang","","","N/A","Success"
"10.1039/D3SC00159H","Lipid oxidation controls peptide self-assembly near membranes through a surface attraction mechanism","N/A","N/A","Torsten John, Stefania Piantavigna, Tiara J. A. Dealey, Bernd Abel, Herre Jelger Risselada, Lisandra L. Martin","","","N/A","Success"
"10.1039/D2SC04302E","Uranium(iv) alkyl cations: synthesis, structures, comparison with thorium(iv) analogues, and the influence of arene-coordination on thermal stability and ethylene polymerization activity","N/A","N/A","Nicholas R. Andreychuk, Balamurugan Vidjayacoumar, Jeffrey S. Price, Sophie Kervazo, Craig A. Peeples, David J. H. Emslie, Valérie Vallet, André Severo Pereira Gomes, Florent Réal, Georg Schreckenbach, Paul W. Ayers, Ignacio Vargas‐Baca, Hilary A. Jenkins, James F. Britten","","","N/A","Success"
"10.1039/D4SC02598A","Biomimetic engineering of a neuroinflammation-targeted MOF nanozyme scaffolded with photo-trigger released CO for the treatment of Alzheimer’s disease","N/A","N/A","Chun Liu, Wenting Zhang, Haochen Zhang, Chuanqi Zhao, Xiubo Du, Jinsong Ren, Xiaogang Qu","","","N/A","Success"
"10.1039/D2SC05044G","Controlling the fluorescence quantum yields of benzothiazole-difluoroborates by optimal substitution","N/A","N/A","Patryk Rybczyński, Manon H. E. Bousquet, Anna Kaczmarek–Kędziera, Beata Jędrzejewska, Denis Jacquemin, Borys Ośmiałowski","","","N/A","Success"
"10.1039/D3SC01084H","Solid-state synthesis of cesium manganese halide nanocrystals in glass with bright and broad red emission for white LEDs","N/A","N/A","Guangyong Xu, Chuying Wang, Yacong Li, Meng Wen, Guigen Luo, Min Peng, Bin Xu, Zhengtao Deng","","","N/A","Success"
"10.1039/D2SC03418B","Organocopper(ii) complexes: new catalysts for carbon–carbon bond formation via electrochemical atom transfer radical addition (eATRA)","N/A","N/A","Miguel A. Gonzálvez, Chuyi Su, Craig M. Williams, Paul V. Bernhardt","","","N/A","Success"
"10.1039/D0SC05647B","A chemically consistent graph architecture for massive reaction networks applied to solid-electrolyte interphase formation","N/A","N/A","Samuel M. Blau, Hetal D. Patel, Evan Walter Clark Spotte‐Smith, Xiaowei Xie, Shyam Dwaraknath, Kristin A. Persson","","","N/A","Success"
"10.1039/D2SC04722E","On-surface synthesis of non-benzenoid conjugated polymers by selective atomic rearrangement of ethynylarenes","N/A","N/A","Alejandro Jiménez-Martín, Federico Villalobos, Benjamín Mallada, Shayan Edalatmanesh, Adam Matěj, Juan M. Cuerva, Pavel Jelı́nek, Araceli G. Campaña, Bruno de la Torre","","","N/A","Success"
"10.1039/D3SC05409H","Delocalisation enables efficient charge generation in organic photovoltaics, even with little to no energetic offset","N/A","N/A","Daniel Balzer, Ivan Kassal","","","N/A","Success"
"10.1039/D2SC03833A","Imaging of hypochlorous acid in mitochondria using an asymmetric near-infrared fluorescent probe with large Stokes shift","N/A","N/A","Wei Hu, Taotao Qiang, Chenchen Li, Longfang Ren, Fei Cheng, Baoshuai Wang, Mingli Li, Xinjian Song, Tony D. James","","","N/A","Success"
"10.1039/D1SC06812A","Inducing a pH-dependent conformational response by competitive binding to Zn2+ of a series of chiral ligands of disparate basicity","N/A","N/A","Matthew M. Wootten, Bryden A. F. Le Bailly, Sofja Tshepelevitsh, Ivo Leito, Jonathan Clayden","","","N/A","Success"
"10.1039/D3SC02782A","Discovery of reactive peptide inhibitors of human papillomavirus oncoprotein E6","N/A","N/A","Xiyun Ye, Peiyuan Zhang, Jason Tao, John Wang, Amirhossein Mafi, Nathalie M. Grob, Anthony J. Quartararo, Hannah T. Baddock, Leanne Jade G. Chan, Fiona E. McAllister, Ian T. Foe, Andrei Loas, Dan Eaton, Qi Hao, Aaron H. Nile, Bradley L. Pentelute","","","N/A","Success"
"10.1039/D2SC03723H","Support stabilized PtCu single-atom alloys for propane dehydrogenation","N/A","N/A","Xiaohe Liu, Xianhui Wang, Shiyu Zhen, Guodong Sun, Chunlei Pei, Zhi‐Jian Zhao, Jinlong Gong","","","N/A","Success"
"10.1039/D0SC06134D","Hierarchical dynamics in allostery following ATP hydrolysis monitored by single molecule FRET measurements and MD simulations","N/A","N/A","Steffen Wolf, Benedikt Sohmen, Björn Hellenkamp, Johann Thurn, Gerhard Stock, Thorsten Hugel","","","N/A","Success"
"10.1039/D1SC01358K","Controlled coherent dynamics of [VO(TPP)], a prototype molecular nuclear qudit with an electronic ancilla","N/A","N/A","Simone Chicco, Alessandro Chiesa, G. Allodi, Elena Garlatti, Matteo Atzori, Lorenzo Sorace, R. De Renzi, Roberta Sessoli, Stefano Carretta","","","N/A","Success"
"10.1039/D1SC03050G","Charge transport through extended molecular wires with strongly correlated electrons","N/A","N/A","James Oscar Thomas, Jakub K. Sowa, Bart Limburg, Xinya Bian, Charalambos Evangeli, Jacob L. Swett, Sumit Tewari, Jonathan Baugh, George C. Schatz, G. Andrew D. Briggs, Harry L. Anderson, Jan A. Mol","","","N/A","Success"
"10.1039/D1SC03480D","Atomic origins of the strong metal–support interaction in silica supported catalysts","N/A","N/A","Feng Yang, Haofei Zhao, Yan Wang, Lei Wang, Lei Zhang, Tianhui Liu, Jian Sheng, Sheng Zhu, Dongsheng He, Lili Lin, Jiaqing He, Rongming Wang, Yan Li","","","N/A","Success"
"10.1039/D0SC05785A","How many water molecules are needed to solvate one?","N/A","N/A","Alessandro Rognoni, Riccardo Conte, Michele Ceotto","","","N/A","Success"
"10.1039/D2SC04969D","An exchange coupled meso–meso linked vanadyl porphyrin dimer for quantum information processing","N/A","N/A","Davide Ranieri, Fabio Santanni, Alberto Privitera, Andrea Albino, Enrico Salvadori, Mario Chiesa, Federico Totti, Lorenzo Sorace, Roberta Sessoli","","","N/A","Success"
"10.1039/D1SC00187F","Heterocyclic group transfer reactions with I(iii) N-HVI reagents: access to N-alkyl(heteroaryl)onium salts via olefin aminolactonization","N/A","N/A","Anthony F. Tierno, Jennifer C. Walters, Andres Vazquez‐Lopez, Xiao Xiao, Sarah E. Wengryniuk","","","N/A","Success"
"10.1039/D2SC04523K","Formation of exceptional monomeric YPhos–PdCl2complexes with high activities in coupling reactions","N/A","N/A","Ilja Rodstein, Leif Kelling, Julian Löffler, Thorsten Scherpf, Abir Sarbajna, Diego M. Andrada, Viktoria H. Gessner","","","N/A","Success"
"10.1039/D2SC01769E","Zn(ii)-Coordination-driven self-assembled nanoagents for multimodal imaging-guided photothermal/gene synergistic therapy","N/A","N/A","Hui Hu, Nan Yang, Jiahui Sun, Fu Zhou, Rui Gu, Yuan Liu, Li Wang, Xuejiao Song, Ruirui Yun, Xiaochen Dong, Guangfeng Wang","","","N/A","Success"
"10.1039/D1SC04241F","Controlling dispersity in aqueous atom transfer radical polymerization: rapid and quantitative synthesis of one-pot block copolymers","N/A","N/A","Hyun Suk Wang, Kostas Parkatzidis, Simon Harrisson, Nghia P. Truong, Athina Anastasaki","","","N/A","Success"
"10.1039/D3SC02139D","TCMBank: bridges between the largest herbal medicines, chemical ingredients, target proteins, and associated diseases with intelligence text mining","N/A","N/A","Qiujie Lv, Guanxing Chen, Haohuai He, Ziduo Yang, Lu Zhao, Hsin‐Yi Chen, Calvin Yu‐Chian Chen","","","N/A","Success"
"10.1039/D2SC01232D","Heme compound II models in chemoselectivity and disproportionation reactions","N/A","N/A","Ranjana Gupta, Xiao‐Xi Li, Youngseob Lee, Mi Sook Seo, Yong‐Min Lee, Sachiko Yanagisawa, Minoru Kubo, Ritimukta Sarangi, Kyung‐Bin Cho, Shunichi Fukuzumi, Wonwoo Nam","","","N/A","Success"
"10.1039/D3SC02408C","Δ2 machine learning for reaction property prediction","N/A","N/A","Qiyuan Zhao, Dylan M. Anstine, Olexandr Isayev, Brett M. Savoie","","","N/A","Success"
"10.1039/D1SC01224J","X-ray scattering reveals ion clustering of dilute chromium species in molten chloride medium","N/A","N/A","Santanu Roy, S. Sharma, Waruni V. Karunaratne, Fei Wu, Ruchi Gakhar, Dmitry S. Maltsev, Phillip Halstenberg, Milinda Abeykoon, Simerjeet K. Gill, Yuanpeng Zhang, Shannon M. Mahurin, Sheng Dai, Vyacheslav S. Bryantsev, Claudio J. Margulis, Alexander S. Ivanov","","","N/A","Success"
"10.1039/D4SC01670J","Quantifying near-symmetric molecular distortion using symmetry-coordinate structural decomposition","A new method for analyzing crystal structures of molecules distorted from their regular shape separates atom movements into symmetry modes so that molecular conformation of functional materials can be quantified and compared easily across databases.","Chemical Science","Christopher J. Kingsbury, Mathias O. Senge","","N/A","N/A","Already Complete"
